gt,pred
1.0,0.8242712
0.0,2.2747888e-09
0.0,1.1950981e-08
0.0,0.076052
0.0,0.016368818
0.0,0.96665424
1.0,0.9666912
0.0,0.00024154142
0.0,6.1303153e-06
1.0,0.96367
0.0,0.004936261
0.0,5.7534592e-08
0.0,4.4223674e-05
0.0,0.00071001437
0.0,0.076222226
1.0,0.9153239
0.0,0.0013256548
0.0,7.2667767e-06
0.0,6.806271e-06
0.0,0.00020033965
1.0,0.9579456
1.0,0.98135537
0.0,0.0045266286
0.0,1.5578298e-06
0.0,0.00035038582
0.0,0.00043142028
0.0,9.048122e-10
1.0,0.9618443
0.0,0.0143903615
0.0,0.00019035324
0.0,0.00014778604
0.0,0.06585044
0.0,0.0033005192
0.0,0.00033891154
0.0,0.01550795
0.0,8.257379e-07
0.0,0.0042513963
1.0,0.022731412
0.0,9.3110725e-07
0.0,5.220162e-05
0.0,9.649577e-08
0.0,1.260161e-05
0.0,0.005252181
0.0,0.0004604805
0.0,0.0006060211
0.0,0.0022198395
1.0,0.9844413
0.0,0.00022900177
0.0,0.0009749909
0.0,7.8578016e-10
0.0,0.016358977
0.0,0.0014704206
0.0,1.8623095e-05
0.0,4.5615983e-05
0.0,6.8291284e-09
0.0,1.7772082e-07
0.0,0.00026156337
0.0,0.0015326799
1.0,0.82462984
0.0,0.000112421
1.0,0.9782788
1.0,0.9605249
1.0,0.74630284
1.0,0.9375219
0.0,0.09890043
0.0,0.016027711
1.0,0.977453
0.0,5.4204273e-05
0.0,0.0052770944
0.0,0.2527063
0.0,0.00043530797
1.0,0.9795817
0.0,0.0008069137
0.0,0.0053318134
0.0,3.5737107e-06
0.0,7.611017e-05
0.0,0.0039951275
0.0,5.5720148e-14
0.0,0.00021569508
0.0,4.377664e-05
1.0,0.93177795
1.0,0.9815075
0.0,0.0024135904
0.0,5.50078e-05
0.0,0.026190342
0.0,1.522611e-05
0.0,0.0048005655
0.0,0.027261864
0.0,0.0005634105
0.0,1.6527673e-07
0.0,0.093128465
0.0,0.00022378987
0.0,6.5400695e-06
0.0,0.00283177
0.0,1.9301215e-08
0.0,7.2319326e-06
0.0,0.00092891045
0.0,0.0005550364
0.0,0.0018287506
0.0,1.103377e-07
0.0,1.4670776e-06
0.0,4.7903788e-09
1.0,0.78717333
0.0,0.00058686803
0.0,0.8967456
0.0,0.0009522307
0.0,0.00028283166
1.0,0.93175894
1.0,0.40717137
0.0,1.1291325e-09
1.0,0.98212105
0.0,0.03401437
0.0,0.00017584347
0.0,6.269875e-26
0.0,0.003598773
0.0,0.003955306
0.0,0.00015285765
0.0,0.00022752315
0.0,6.0535658e-05
0.0,0.0071097887
0.0,0.0024438181
0.0,0.00033379358
1.0,0.9817535
0.0,0.008839276
0.0,0.00018586619
0.0,0.8508709
0.0,8.170042e-05
1.0,0.95315874
0.0,0.000170166
0.0,0.004328587
0.0,0.0033122445
0.0,0.0010787387
0.0,0.0023942022
0.0,0.007320782
0.0,0.00034550822
0.0,0.0009515297
0.0,0.49824014
0.0,6.6291847e-18
0.0,0.02246835
0.0,0.012054381
0.0,0.00020621493
0.0,7.1815055e-05
0.0,0.0016875152
0.0,1.4994144e-12
1.0,0.98522305
0.0,0.026482204
0.0,0.00055059744
0.0,0.0022990732
0.0,2.007448e-09
0.0,2.330416e-06
0.0,0.00028174464
1.0,0.9821717
0.0,0.00132204
0.0,3.0212295e-06
0.0,0.0020659126
0.0,1.699906e-07
0.0,0.00044838822
0.0,0.011923653
0.0,2.3087417e-18
0.0,4.369667e-06
0.0,0.00011842526
0.0,0.00089860987
1.0,0.9745668
0.0,0.000326926
0.0,0.0016818725
0.0,0.0011945514
1.0,0.97828966
0.0,0.43928576
0.0,1.5471402e-07
0.0,0.0026376708
0.0,0.00021344423
0.0,0.00029144395
0.0,0.01507369
0.0,2.5757447e-18
1.0,0.9847948
0.0,5.356329e-17
1.0,0.9753052
1.0,0.9179071
0.0,0.004766334
0.0,2.974604e-05
0.0,0.78605276
0.0,7.620059e-05
0.0,0.31394613
0.0,0.0009366758
0.0,2.045571e-08
0.0,0.0003008331
0.0,0.0006701206
0.0,0.0045570764
0.0,0.00015511514
0.0,2.5276713e-05
0.0,0.0026121184
0.0,0.0008139532
0.0,1.3136614e-10
1.0,0.6847943
0.0,4.3422053e-14
0.0,0.008141261
0.0,3.4730998e-05
0.0,0.00045586858
0.0,4.8863047e-05
0.0,0.0011698311
0.0,0.00048993086
0.0,9.061547e-06
0.0,5.0192662e-05
0.0,0.047643583
0.0,0.00020767628
0.0,3.1561664e-20
0.0,9.516397e-06
0.0,0.00073749246
0.0,0.023919271
1.0,0.89860135
0.0,7.755693e-06
1.0,0.96541536
0.0,0.10104679
0.0,0.0069724764
0.0,9.0966285e-05
1.0,0.9405588
0.0,2.0663997e-06
1.0,0.9863593
0.0,8.839357e-08
0.0,0.00081117346
0.0,0.14465947
0.0,8.661315e-08
0.0,3.43969e-06
0.0,0.0015031077
