gt,pred
1.0,0.77459353
0.0,1.7733356e-08
0.0,1.5557104e-08
0.0,0.08268765
0.0,0.042058755
0.0,0.9222657
1.0,0.9421467
0.0,0.00030490762
0.0,6.5938343e-06
1.0,0.63412637
0.0,0.009599827
0.0,1.7192684e-07
0.0,7.0287846e-05
0.0,0.000826471
0.0,0.10841822
1.0,0.91179454
0.0,0.0030161622
0.0,1.6292242e-07
0.0,8.8059105e-06
0.0,0.0003370095
1.0,0.9529958
1.0,0.9691524
0.0,0.00016756819
0.0,1.5291359e-07
0.0,1.5433618e-05
0.0,0.00092077407
0.0,1.8375422e-06
1.0,0.9527334
0.0,0.0040335297
0.0,0.002312084
0.0,0.0024923745
0.0,0.054270003
0.0,0.014502359
0.0,0.0007779733
0.0,0.020661652
0.0,6.208017e-07
0.0,0.009020122
1.0,0.00526078
0.0,1.553834e-05
0.0,0.0003852546
0.0,2.8064179e-07
0.0,2.1900107e-06
0.0,0.0033800737
0.0,0.0004742038
0.0,0.0011289648
0.0,0.0020697392
1.0,0.98043275
0.0,0.00027900658
0.0,0.00080726476
0.0,2.375375e-09
0.0,0.022814116
0.0,0.003001134
0.0,6.510989e-05
0.0,4.92295e-06
0.0,1.6269038e-12
0.0,4.915632e-08
0.0,0.0004848183
0.0,0.0057496848
1.0,0.77519834
0.0,0.00048581528
1.0,0.9012737
1.0,0.92546976
1.0,0.73783565
1.0,0.82542443
0.0,0.11451634
0.0,0.0116185825
1.0,0.9217967
0.0,2.4521652e-05
0.0,0.0015123291
0.0,0.11445237
0.0,0.0005470385
1.0,0.9532042
0.0,0.0011511687
0.0,0.004148763
0.0,6.6416155e-06
0.0,5.3632506e-05
0.0,0.0006582095
0.0,1.2479075e-11
0.0,0.0001352333
0.0,0.003180114
1.0,0.9508981
1.0,0.97556984
0.0,0.0026718075
0.0,9.873872e-05
0.0,0.119853064
0.0,2.3960634e-05
0.0,0.014054326
0.0,0.052919436
0.0,0.0002570106
0.0,4.9264254e-06
0.0,0.01885213
0.0,0.0002062517
0.0,1.6771193e-09
0.0,0.000358314
0.0,8.781231e-12
0.0,4.513597e-06
0.0,0.0006740585
0.0,0.002750774
0.0,0.0016904119
0.0,3.6333554e-09
0.0,2.4065314e-06
0.0,3.75403e-08
1.0,0.44298723
0.0,0.0008999037
0.0,0.79262674
0.0,0.00042935947
0.0,0.00010656423
1.0,0.9440915
1.0,0.34774333
0.0,1.1461424e-08
1.0,0.9770204
0.0,0.012528138
0.0,0.027359717
0.0,6.8507624e-08
0.0,0.013720893
0.0,0.004564822
0.0,0.00017742376
0.0,1.1981392e-05
0.0,1.1635194e-05
0.0,0.012521286
0.0,0.003883375
0.0,1.7862012e-05
1.0,0.97047573
0.0,0.059706036
0.0,0.0010412476
0.0,0.60233295
0.0,7.795001e-05
1.0,0.9786785
0.0,0.00012827897
0.0,0.0056702388
0.0,0.044807337
0.0,0.0039039669
0.0,0.0047262064
0.0,0.034678955
0.0,0.001048851
0.0,0.0020784333
0.0,0.62175906
0.0,3.0575657e-14
0.0,0.050128765
0.0,0.009391131
0.0,0.000997046
0.0,0.00040992745
0.0,0.0057622623
0.0,4.681955e-05
1.0,0.98114854
0.0,0.1765293
0.0,0.0018104498
0.0,9.545742e-05
0.0,5.289789e-09
0.0,4.4092085e-06
0.0,0.0046559875
1.0,0.9753559
0.0,0.0015204058
0.0,1.4345942e-05
0.0,0.0031205025
0.0,1.4378163e-10
0.0,0.0009880178
0.0,0.011607511
0.0,2.2283681e-15
0.0,8.685253e-06
0.0,4.408506e-05
0.0,1.5214206e-06
1.0,0.9705747
0.0,0.0005971817
0.0,0.002828114
0.0,0.0118701
1.0,0.97182864
0.0,0.05876375
0.0,1.12489404e-08
0.0,0.0037814998
0.0,5.5853184e-06
0.0,7.918463e-06
0.0,0.009226162
0.0,9.498288e-08
1.0,0.97503215
0.0,8.5273985e-14
1.0,0.95436525
1.0,0.85883707
0.0,0.021844232
0.0,4.622163e-06
0.0,0.21012896
0.0,0.004993217
0.0,0.6283187
0.0,0.00025982823
0.0,2.2204548e-08
0.0,0.0011714498
0.0,0.0024608371
0.0,0.00077665364
0.0,9.1710805e-05
0.0,3.2807784e-05
0.0,0.0034227527
0.0,0.00055241736
0.0,2.9447486e-10
1.0,0.26624128
0.0,2.9448638e-12
0.0,0.0067004636
0.0,2.7068192e-05
0.0,0.000675246
0.0,2.105795e-05
0.0,0.0011026175
0.0,0.00035595777
0.0,1.1414079e-05
0.0,5.0271658e-05
0.0,0.136087
0.0,0.0004879539
0.0,7.464785e-15
0.0,2.2898664e-06
0.0,0.00093548436
0.0,0.025390146
1.0,0.73649365
0.0,4.5205497e-06
1.0,0.9065646
0.0,0.022225874
0.0,0.00410712
0.0,0.00010192789
1.0,0.7142589
0.0,2.1076078e-06
1.0,0.97974944
0.0,6.1308824e-06
0.0,0.0010125948
0.0,0.4819137
0.0,1.9873719e-08
0.0,6.7176154e-07
0.0,0.0021360167
0.0,5.0074402e-09
0.0,3.4033437e-06
0.0,7.518079e-08
0.0,0.00042687164
0.0,0.036164004
1.0,0.80152696
0.0,0.5953571
0.0,0.00015817705
0.0,9.040253e-07
0.0,9.238207e-06
0.0,0.0006910738
0.0,9.739744e-07
0.0,1.3446071e-05
0.0,7.570992e-12
0.0,0.0005339887
0.0,1.7733915e-05
0.0,0.001278942
0.0,2.2763645e-20
0.0,0.021396875
0.0,1.6908874e-11
0.0,0.008968032
0.0,0.012217481
0.0,0.06767604
1.0,0.5507791
0.0,5.4530745e-05
0.0,0.016308298
0.0,0.07094975
0.0,0.0073761144
0.0,0.010172111
0.0,0.0001316874
0.0,0.0003437059
0.0,0.0014922617
0.0,0.03967286
0.0,9.4654584e-05
0.0,0.00034604553
0.0,3.7184282e-06
0.0,0.20542257
0.0,0.00010275928
0.0,0.23651521
1.0,0.9319485
0.0,0.00016466239
0.0,0.0059100124
0.0,0.0017179772
0.0,2.4422464e-10
0.0,0.00029481656
0.0,4.8842645e-05
0.0,4.571902e-05
